iter	Passed	Remaining
406	7769	11320
407	7790	11303
408	7810	11286
409	7829	11266
410	7849	11248
411	7867	11228
412	7887	11210
413	7906	11191
414	7926	11173
415	7947	11156
416	7966	11137
417	7985	11118
418	8004	11099
419	8022	11079
420	8041	11060
421	8060	11040
422	8080	11022
423	8103	11008
424	8122	10989
425	8142	10970
426	8161	10951
427	8180	10932
428	8199	10913
429	8219	10895
430	8237	10874
431	8255	10854
432	8274	10835
433	8295	10818
434	8316	10801
435	8336	10783
436	8356	10766
437	8375	10746
438	8395	10728
439	8415	10710
440	8434	10690
441	8454	10672
442	8473	10653
443	8492	10635
444	8511	10615
445	8530	10596
446	8549	10577
447	8569	10559
448	8587	10538
449	8605	10517
450	8625	10499
451	8645	10481
452	8664	10462
453	8684	10443
454	8703	10424
455	8722	10405
456	8741	10386
457	8759	10366
458	8779	10347
459	8798	10328
460	8817	10309
461	8835	10288
462	8854	10270
463	8874	10251
464	8894	10233
465	8914	10214
466	8936	10199
467	8955	10179
468	8975	10162
469	8995	10143
470	9015	10125
471	9034	10106
472	9053	10087
473	9073	10068
474	9093	10051
475	9113	10032
476	9134	10015
477	9154	9997
478	9173	9977
479	9193	9959
480	9213	9941
481	9232	9922
482	9253	9904
483	9272	9885
484	9292	9867
485	9313	9850
486	9332	9830
487	9352	9812
488	9373	9795
489	9392	9775
490	9411	9756
491	9431	9737
492	9451	9719
493	9470	9700
494	9488	9680
495	9509	9662
496	9528	9643
497	9547	9624
498	9566	9605
499	9586	9586
500	9606	9567
501	9626	9549
502	9647	9532
503	9667	9514
504	9688	9496
505	9707	9477
506	9726	9457
507	9746	9439
508	9763	9418
509	9782	9398
510	9801	9379
511	9820	9360
512	9840	9341
513	9861	9323
514	9879	9304
515	9902	9288
516	9922	9269
517	9942	9251
518	9963	9233
519	9982	9214
520	10002	9195
521	10021	9176
522	10040	9157
523	10059	9138
524	10078	9119
525	10099	9101
526	10119	9082
527	10138	9062
528	10157	9043
529	10178	9025
530	10198	9007
531	10217	8988
532	10237	8969
533	10256	8950
534	10275	8930
535	10294	8911
536	10313	8892
537	10333	8873
538	10353	8855
539	10373	8836
540	10393	8817
541	10415	8801
542	10441	8788
543	10462	8770
544	10481	8750
545	10499	8730
546	10520	8712
547	10540	8693
548	10560	8675
549	10581	8657
550	10601	8639
551	10621	8620
552	10642	8602
553	10661	8582
554	10679	8563
555	10699	8544
556	10719	8525
557	10740	8507
558	10760	8488
559	10781	8470
560	10801	8452
561	10819	8432
562	10838	8412
563	10857	8393
564	10878	8375
565	10896	8355
566	10916	8336
567	10937	8318
568	10955	8298
569	10975	8279
570	10993	8259
571	11012	8240
572	11032	8221
573	11052	8202
574	11071	8183
575	11090	8163
576	11108	8143
577	11126	8123
578	11145	8104
579	11166	8085
580	11185	8066
