iter	Logloss
0	0.6877164086
1	0.6831938385
2	0.6780129112
3	0.6737430919
4	0.6694224843
5	0.6656835268
6	0.6606183769
7	0.6566214542
8	0.6522861595
9	0.6480525248
10	0.6440922308
11	0.6406424637
12	0.6365933204
13	0.6319184787
14	0.6286305646
15	0.6248621104
16	0.6214615145
17	0.6185159512
18	0.616231823
19	0.6129313711
20	0.6088860878
21	0.6048831597
22	0.601317652
23	0.5980625525
24	0.5949362669
25	0.5914514842
26	0.5883868435
27	0.5858180159
28	0.5836002663
29	0.5814057668
30	0.5785276596
31	0.5754019357
32	0.5728131902
33	0.5705359971
34	0.5680260034
35	0.5655390859
36	0.5623574144
37	0.5599291061
38	0.5568379973
39	0.5541922375
40	0.5518350912
41	0.5493549813
42	0.5467143195
43	0.5444920465
44	0.5423052333
45	0.5402159116
46	0.5375280239
47	0.5358128659
48	0.5335375762
49	0.5320229323
50	0.530122417
51	0.527981366
52	0.5260142162
53	0.5241811894
54	0.521628471
55	0.5199354894
56	0.5180318056
57	0.5165141155
58	0.5147021362
59	0.5127000608
60	0.510960918
61	0.5099906591
62	0.5081642179
63	0.5062517872
64	0.5047499348
65	0.5030770915
66	0.5011553274
67	0.5002936065
68	0.4984410076
69	0.4970528337
70	0.4960205374
71	0.4942016115
72	0.4934186479
73	0.4915646238
74	0.4900528727
75	0.4886985368
76	0.487931947
77	0.486795069
78	0.4857523583
79	0.4840398512
80	0.4827842766
81	0.4820360627
82	0.4806285692
83	0.479246188
84	0.4784485231
85	0.4769327416
86	0.4760332964
87	0.4745388725
88	0.4731685342
89	0.4722253244
90	0.4706813346
91	0.469053352
92	0.4683229951
93	0.4669331159
94	0.46558735
95	0.4641915824
96	0.463039174
97	0.4616414821
98	0.4604282831
99	0.4596682695
100	0.4584565813
101	0.4572371111
102	0.4562296605
103	0.4553247237
104	0.4548031222
105	0.4535064068
106	0.4522921882
107	0.4513279216
108	0.4502840955
109	0.4496796086
110	0.4483718001
111	0.4474993732
112	0.4467107477
113	0.4456763064
114	0.44477511
115	0.4436531201
116	0.4428429232
117	0.4419114191
118	0.4413600598
119	0.4405247672
120	0.4398880745
121	0.4391301129
122	0.4383106211
123	0.4374963308
124	0.4367387615
125	0.4362339902
126	0.435527822
127	0.4347108654
128	0.4338558324
129	0.4331544018
130	0.4323619511
131	0.4321148029
132	0.4313051375
133	0.4306424646
134	0.4299296567
135	0.4292235035
136	0.4289989445
137	0.4281910855
138	0.4274374047
139	0.4266481261
140	0.4261836949
141	0.4257750575
142	0.4250188058
143	0.4245270026
144	0.4235617356
145	0.4230170537
146	0.4225556271
147	0.4218784793
148	0.4212080694
149	0.4207075278
150	0.4201818989
151	0.4195975839
152	0.418953572
153	0.4181576503
154	0.4179951433
155	0.4173313191
156	0.4167243106
157	0.4160846883
158	0.4158015174
159	0.4152687571
160	0.4145875194
161	0.4141440718
162	0.4137049781
163	0.4135684036
164	0.4132756471
165	0.4129442286
166	0.4125415282
167	0.4121269231
168	0.4115974115
169	0.4112173438
170	0.4108172411
171	0.4102326327
172	0.4098684751
173	0.4093227344
174	0.4090179853
175	0.4086711599
176	0.40811888
177	0.407683832
178	0.4073307305
179	0.4070694368
180	0.4066595682
181	0.4063440961
182	0.4058226795
183	0.4052630481
184	0.4049267699
185	0.4042812907
186	0.4038823589
187	0.403567752
188	0.4031327526
189	0.4026179857
190	0.4020250262
191	0.4015250456
192	0.400941564
193	0.4004692447
194	0.4000415757
195	0.3996583064
196	0.3991289947
197	0.3988370508
198	0.3984513031
199	0.398103098
200	0.3977433881
201	0.3975087771
202	0.3971696782
203	0.3969975553
204	0.3965894125
205	0.3961990293
206	0.3957342373
207	0.3956444847
208	0.395171302
209	0.3949653053
210	0.3947190536
211	0.3945003105
212	0.3939657131
213	0.3936778065
214	0.3931860344
215	0.3926997128
216	0.392146999
217	0.3917396983
218	0.3913121678
219	0.3909391055
220	0.3904424416
221	0.3900871918
222	0.3896670551
223	0.3892073207
224	0.3888285101
225	0.3886214848
226	0.3880833147
227	0.3876895165
228	0.3871436417
229	0.3869143954
230	0.3864801068
231	0.3860321709
232	0.385887076
233	0.3855429638
234	0.3852227523
235	0.3849312873
236	0.3844649854
237	0.3841834997
238	0.3838838908
239	0.3836305778
240	0.3832808986
241	0.3829857484
242	0.3828402792
243	0.3825148775
244	0.3820819524
245	0.3816995148
246	0.3814052876
247	0.3810634098
248	0.3806245739
249	0.380403147
250	0.3798834314
251	0.3796164535
252	0.3793849054
253	0.3792131537
254	0.3790115017
255	0.3786931546
256	0.3784500622
257	0.3780806974
258	0.3777621793
259	0.3774134509
260	0.3771510213
261	0.377128111
262	0.3770010799
263	0.3767373313
264	0.376529475
265	0.3761801178
266	0.3759993137
267	0.3759005396
268	0.375691182
269	0.3754616626
270	0.3752622577
271	0.3751405895
272	0.3748467176
273	0.3747147286
274	0.3744636249
275	0.3740478376
276	0.3738238395
277	0.3734489894
278	0.3731600686
279	0.3729650883
280	0.3726090557
281	0.3723593718
282	0.371956968
283	0.3717349834
284	0.3715271546
285	0.3713926974
286	0.3712346185
287	0.3709450426
288	0.3709233851
289	0.3706154374
290	0.3704689876
291	0.3703115256
292	0.3700879117
293	0.3697213938
294	0.3694967313
295	0.3692138965
296	0.3688750505
297	0.3687691872
298	0.3684583567
299	0.3682407956
300	0.367941617
301	0.3676915559
302	0.3675454362
303	0.3673314145
304	0.3671570016
305	0.3668183114
306	0.3666588948
307	0.3665703415
308	0.3663149048
309	0.3660865242
310	0.3658531931
311	0.3655766562
312	0.3652401251
313	0.3651730439
314	0.365103275
315	0.3648624447
316	0.364767744
317	0.3644511955
318	0.3643792361
319	0.3642015074
320	0.3640909967
321	0.3637650627
322	0.3637234424
323	0.3633663564
324	0.3630779139
325	0.3629100386
326	0.3627794385
327	0.3625276113
328	0.3621993139
329	0.3621481506
330	0.3617444895
331	0.3616660518
332	0.3613763381
333	0.3613317851
334	0.3611515641
335	0.3610077377
336	0.3608542775
337	0.3605222593
338	0.3604133172
339	0.3602956787
340	0.360115209
341	0.3599823834
342	0.3597897178
343	0.359682106
344	0.3595496869
345	0.3593962977
346	0.3591406124
347	0.3589602401
348	0.3587044963
349	0.3585129983
350	0.3583443398
351	0.3579291551
352	0.3577680451
353	0.3574081993
354	0.3571269053
355	0.3569867108
356	0.3568180644
357	0.3567671561
358	0.3565164994
359	0.3562940265
360	0.3561407355
361	0.3557630797
362	0.3555288521
363	0.3554209196
364	0.3553408243
365	0.3551699413
366	0.3548553343
367	0.3545834578
368	0.3544176934
369	0.3542275841
370	0.3540915198
371	0.3539633247
372	0.3536267462
373	0.3533860869
374	0.3532714104
375	0.353108243
376	0.3529785403
377	0.3528525414
378	0.3527500123
379	0.3526074056
380	0.3524901653
381	0.3521789889
382	0.3520305783
383	0.3518274877
384	0.3516397467
385	0.3515135946
386	0.3513081958
387	0.3511385902
388	0.3509118482
389	0.3507977911
390	0.350700909
391	0.3506104175
392	0.3504447098
393	0.3503147532
394	0.3501252594
395	0.349899067
396	0.3497336179
397	0.3494961811
398	0.3492931021
399	0.3490563383
400	0.3488356729
401	0.3484241745
402	0.3482947099
403	0.3480580004
404	0.3478339526
405	0.3476537213
406	0.3473974592
407	0.3471696395
408	0.3469081975
409	0.3467229464
410	0.3466449722
411	0.3463872483
412	0.3461912956
413	0.3460617377
414	0.3458686598
415	0.3456707537
416	0.3455928269
417	0.3454396017
418	0.3452853308
419	0.3450130437
420	0.3450004399
421	0.3448345902
422	0.3447298673
423	0.3446537624
424	0.3444868812
425	0.3443115108
426	0.3440034772
427	0.3438945973
428	0.3436889925
429	0.3435338664
430	0.3434009876
431	0.3432307628
432	0.3430656815
433	0.3429468865
434	0.3428113388
435	0.3427081054
436	0.3426430103
437	0.3425061122
438	0.3422839796
439	0.3421125047
440	0.3419591749
441	0.3418449182
442	0.3416122636
443	0.3413490271
444	0.3411965127
445	0.3410512774
446	0.3410438545
447	0.3409206976
448	0.3407543118
449	0.3406069065
450	0.3404030066
451	0.3402561068
452	0.3402248989
453	0.3400212437
454	0.3398640797
455	0.3397461585
456	0.3395816299
457	0.3395171774
458	0.33942026
459	0.3393085123
460	0.3391688923
461	0.339023947
462	0.338973438
463	0.3387966153
464	0.3386665973
465	0.3385521919
466	0.338390698
467	0.3383570866
468	0.3381974052
469	0.338078809
470	0.3379337067
471	0.3377761874
472	0.3376468532
473	0.3375089051
474	0.3373688549
475	0.337354191
476	0.3372210749
477	0.3371580074
478	0.3370584279
479	0.3368461893
480	0.3366373523
481	0.3365699044
482	0.3363480408
483	0.3361893296
484	0.3359767084
485	0.3359146572
486	0.3358259357
487	0.3357502722
488	0.3356337896
489	0.3353006764
490	0.3351573985
491	0.3349895005
492	0.3347619823
493	0.3345774676
494	0.3344991286
495	0.3343370166
496	0.3342311341
497	0.3341390937
498	0.3340006707
499	0.3338005982
500	0.3337623873
501	0.3336257931
502	0.3333983615
503	0.3332798834
504	0.332993451
505	0.3329368059
506	0.3326543601
507	0.3325801473
508	0.3324747315
509	0.3323739232
510	0.3323020058
511	0.3321343572
512	0.3320413264
513	0.3319939356
514	0.3319114214
515	0.3316542897
516	0.3314855653
517	0.3314313069
518	0.3313991555
519	0.3312187049
520	0.3311098606
521	0.3309158143
522	0.3308426943
523	0.3307319962
524	0.3305659198
525	0.3303281712
526	0.3302948386
527	0.3300524389
528	0.3299405895
529	0.329739236
530	0.3295644901
531	0.3294929302
532	0.3292542983
533	0.3290602902
534	0.3290287874
535	0.3289635214
536	0.3287375782
537	0.3286413006
538	0.3285431031
539	0.3284017184
540	0.3283733387
541	0.3282940438
542	0.3281306924
543	0.3280748131
544	0.3280153767
545	0.3278923809
546	0.3277799681
547	0.3276563839
548	0.3276435543
549	0.327545551
550	0.3274675427
551	0.3274609065
552	0.3273797761
553	0.3272761772
554	0.3271802565
555	0.3271281661
556	0.3270686009
557	0.3268876293
558	0.3268140529
559	0.3266681585
560	0.3266144673
561	0.3265188048
562	0.3264559984
563	0.3263835492
564	0.3263034361
565	0.3262037195
566	0.3260580777
567	0.3257974771
568	0.3257031322
569	0.3255699694
570	0.3254413847
571	0.3253605589
572	0.3252748529
573	0.3250433057
574	0.3248431094
575	0.3246537266
576	0.3245507948
577	0.3244654354
578	0.3241868414
579	0.3240586531
580	0.3239183566
581	0.3237091552
582	0.3235557494
583	0.3233918445
584	0.3233072991
585	0.3231746932
586	0.323026329
587	0.3229247966
588	0.3228265554
589	0.3227141821
590	0.3225278216
591	0.3222676048
